epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.167,0.80701,0.4701,0.99828,0.9548,0.94604,0.97006,0.72806,0.86003,0.44061,1.01959,0.00333073,0.00333073,0.00333073
2,223.204,0.93667,0.60618,1.05994,0.9561,0.93537,0.9681,0.70824,0.9001,0.47884,1.052,0.00660909,0.00660909,0.00660909
3,327.325,1.00515,0.68648,1.10547,0.95261,0.91054,0.957,0.68454,0.9657,0.5479,1.11001,0.00983244,0.00983244,0.00983244
4,430.558,1.03491,0.7015,1.13023,0.95812,0.91976,0.96067,0.69252,0.92758,0.49705,1.08154,0.0097525,0.0097525,0.0097525
5,533.511,1.00612,0.64883,1.11883,0.94745,0.9145,0.95537,0.69781,0.94428,0.51436,1.08016,0.00967,0.00967,0.00967
6,636.902,0.97593,0.61293,1.10745,0.95953,0.92903,0.97497,0.72703,0.88048,0.44212,1.04925,0.0095875,0.0095875,0.0095875
7,740.017,0.96143,0.58632,1.09918,0.94805,0.93806,0.97138,0.72075,0.90162,0.44907,1.06758,0.009505,0.009505,0.009505
8,844.153,0.94352,0.56711,1.09417,0.96085,0.93333,0.97668,0.73228,0.86757,0.42449,1.04501,0.0094225,0.0094225,0.0094225
9,947.631,0.93729,0.55301,1.09174,0.96408,0.93842,0.97774,0.73449,0.8764,0.41608,1.05557,0.00934,0.00934,0.00934
10,1051.09,0.93154,0.54542,1.09153,0.96252,0.94758,0.98212,0.74515,0.85274,0.39887,1.03054,0.0092575,0.0092575,0.0092575
11,1154.67,0.91375,0.53041,1.08251,0.97571,0.94023,0.98134,0.74809,0.84745,0.39847,1.04337,0.009175,0.009175,0.009175
12,1257.96,0.9053,0.51789,1.07518,0.96228,0.95725,0.98124,0.74917,0.83666,0.39323,1.02844,0.0090925,0.0090925,0.0090925
13,1361.22,0.90623,0.51389,1.07431,0.95556,0.95776,0.98422,0.76168,0.83001,0.3788,1.02495,0.00901,0.00901,0.00901
14,1464.39,0.89951,0.50429,1.07409,0.9688,0.9486,0.98362,0.74782,0.84425,0.38143,1.03839,0.0089275,0.0089275,0.0089275
15,1567.71,0.88259,0.4964,1.07349,0.96904,0.95562,0.98368,0.76037,0.82735,0.37435,1.02541,0.008845,0.008845,0.008845
16,1670.56,0.88728,0.49504,1.0704,0.9711,0.95763,0.98359,0.7625,0.81649,0.37059,1.03312,0.0087625,0.0087625,0.0087625
17,1774.39,0.87955,0.48401,1.06505,0.9664,0.96609,0.98548,0.75736,0.8195,0.36039,1.02021,0.00868,0.00868,0.00868
18,1878.23,0.87934,0.48053,1.06619,0.96559,0.96081,0.98715,0.76585,0.79945,0.35297,1.01428,0.0085975,0.0085975,0.0085975
