epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.614,1.17492,1.02439,1.38169,0.53222,0.67244,0.58852,0.40859,1.25124,3.1996,1.54452,0.000665357,0.000665357,0.000665357
2,203.919,1.16667,0.89696,1.38646,0.93305,0.89974,0.95082,0.6662,1.17495,0.94228,1.50517,0.00132103,0.00132103,0.00132103
3,302.27,1.11078,0.80968,1.33506,0.70596,0.57435,0.64542,0.44757,1.21348,1.51098,1.5145,0.00196571,0.00196571,0.00196571
4,400.132,1.09641,0.75707,1.3367,0.95331,0.93369,0.96022,0.70939,1.00587,0.63753,1.33271,0.0019505,0.0019505,0.0019505
5,497.101,1.03204,0.67534,1.28701,0.937,0.91568,0.95945,0.69821,1.00318,0.65607,1.34936,0.001934,0.001934,0.001934
6,594.967,0.99838,0.63647,1.27386,0.96507,0.94547,0.96939,0.72949,0.95216,0.53357,1.27792,0.0019175,0.0019175,0.0019175
7,692.724,0.98563,0.62487,1.27175,0.95658,0.91077,0.95222,0.71958,0.97545,0.59789,1.30815,0.001901,0.001901,0.001901
8,790.046,0.95977,0.59682,1.24561,0.97286,0.94597,0.98038,0.75073,0.90347,0.52999,1.26683,0.0018845,0.0018845,0.0018845
9,887.527,0.93344,0.57368,1.22061,0.97505,0.95602,0.9801,0.73771,0.93649,0.50191,1.31251,0.001868,0.001868,0.001868
10,985.221,0.92673,0.55302,1.23198,0.96972,0.95777,0.9798,0.75963,0.8826,0.49443,1.25067,0.0018515,0.0018515,0.0018515
11,1083,0.92486,0.54276,1.22606,0.95239,0.95007,0.97911,0.75723,0.85868,0.496,1.22217,0.001835,0.001835,0.001835
12,1180.56,0.91926,0.55129,1.22079,0.96484,0.96218,0.97913,0.75688,0.87277,0.47877,1.22302,0.0018185,0.0018185,0.0018185
13,1278,0.90015,0.52644,1.20462,0.96559,0.96241,0.97946,0.77801,0.85079,0.4538,1.20979,0.001802,0.001802,0.001802
14,1376.27,0.90017,0.51011,1.21212,0.95725,0.9651,0.98552,0.7668,0.87306,0.45044,1.21998,0.0017855,0.0017855,0.0017855
15,1473.69,0.89561,0.51024,1.19876,0.97081,0.96538,0.98427,0.76865,0.86675,0.45253,1.2319,0.001769,0.001769,0.001769
16,1570.89,0.88168,0.49946,1.20038,0.96617,0.95602,0.98813,0.76346,0.86567,0.43041,1.20669,0.0017525,0.0017525,0.0017525
17,1668.84,0.88272,0.50234,1.19198,0.97243,0.96156,0.98435,0.78172,0.84565,0.4344,1.20036,0.001736,0.001736,0.001736
18,1766.44,0.88624,0.50034,1.19614,0.98015,0.95532,0.98816,0.78387,0.86624,0.43833,1.24515,0.0017195,0.0017195,0.0017195
19,1864.34,0.86609,0.49233,1.18009,0.97027,0.95778,0.98103,0.77981,0.82391,0.43242,1.1881,0.001703,0.001703,0.001703
20,1961.97,0.86267,0.48177,1.18511,0.98034,0.965,0.98444,0.77289,0.84897,0.42451,1.22024,0.0016865,0.0016865,0.0016865
21,2059.94,0.84522,0.47802,1.17732,0.96819,0.97186,0.98953,0.78086,0.83302,0.41836,1.18989,0.00167,0.00167,0.00167
22,2157.87,0.85472,0.46805,1.18266,0.97027,0.97361,0.98631,0.77724,0.84641,0.42147,1.20643,0.0016535,0.0016535,0.0016535
23,2255.26,0.85344,0.47271,1.1786,0.9606,0.97361,0.98527,0.79308,0.80838,0.41044,1.18466,0.001637,0.001637,0.001637
24,2353.07,0.84476,0.46332,1.17135,0.98067,0.95427,0.98934,0.7791,0.85273,0.43663,1.21467,0.0016205,0.0016205,0.0016205
25,2451.3,0.84366,0.46391,1.16833,0.97263,0.96883,0.98684,0.7652,0.88358,0.43917,1.23292,0.001604,0.001604,0.001604
26,2549.31,0.84627,0.46229,1.1706,0.96445,0.97831,0.98931,0.79007,0.80981,0.41041,1.17457,0.0015875,0.0015875,0.0015875
27,2646.69,0.83722,0.45968,1.16446,0.97092,0.96917,0.98815,0.78909,0.81447,0.41072,1.17448,0.001571,0.001571,0.001571
28,2744.71,0.8393,0.44878,1.16872,0.9742,0.96482,0.98583,0.79434,0.8041,0.41398,1.17191,0.0015545,0.0015545,0.0015545
29,2842.92,0.83292,0.44523,1.15683,0.97443,0.9657,0.99057,0.79585,0.78497,0.38837,1.15482,0.001538,0.001538,0.001538
30,2940.81,0.82659,0.4494,1.16287,0.97774,0.96593,0.98738,0.80428,0.77218,0.40333,1.1502,0.0015215,0.0015215,0.0015215
31,3038.33,0.82647,0.4425,1.16124,0.96702,0.97274,0.98954,0.79494,0.77447,0.38786,1.15893,0.001505,0.001505,0.001505
32,3136.36,0.82992,0.44516,1.15824,0.96419,0.97449,0.98629,0.7986,0.76778,0.38166,1.14629,0.0014885,0.0014885,0.0014885
33,3234.01,0.82948,0.43559,1.151,0.96016,0.97493,0.98974,0.79908,0.78922,0.38317,1.15159,0.001472,0.001472,0.001472
34,3331.45,0.82796,0.43999,1.14445,0.96495,0.96746,0.98815,0.80837,0.76248,0.37634,1.13631,0.0014555,0.0014555,0.0014555
35,3429.26,0.82511,0.43225,1.14886,0.97693,0.96832,0.98814,0.80744,0.78357,0.374,1.14621,0.001439,0.001439,0.001439
36,3527.25,0.81652,0.42847,1.14171,0.97269,0.97106,0.98864,0.80945,0.75166,0.36833,1.13436,0.0014225,0.0014225,0.0014225
37,3625.22,0.81353,0.42879,1.14696,0.97104,0.97307,0.99003,0.80913,0.75764,0.36413,1.13037,0.001406,0.001406,0.001406
38,3722.7,0.81011,0.42426,1.14198,0.96371,0.97801,0.9869,0.79944,0.7811,0.37417,1.14505,0.0013895,0.0013895,0.0013895
39,3820.83,0.82274,0.43347,1.14999,0.97438,0.96991,0.99122,0.81179,0.75954,0.36282,1.13261,0.001373,0.001373,0.001373
40,3919.11,0.79858,0.41603,1.14153,0.96097,0.97455,0.99066,0.80993,0.74823,0.37541,1.12906,0.0013565,0.0013565,0.0013565
41,4016.73,0.79782,0.4253,1.14122,0.97012,0.97713,0.99026,0.8111,0.75614,0.37453,1.12929,0.00134,0.00134,0.00134
42,4114.17,0.79983,0.41819,1.13398,0.96701,0.9798,0.99172,0.81192,0.75382,0.36134,1.13138,0.0013235,0.0013235,0.0013235
43,4212.15,0.79507,0.41266,1.13404,0.96387,0.97713,0.99092,0.80973,0.74501,0.35862,1.11801,0.001307,0.001307,0.001307
44,4310.36,0.7979,0.40987,1.13566,0.97188,0.97276,0.99103,0.81601,0.74619,0.36279,1.12415,0.0012905,0.0012905,0.0012905
45,4407.58,0.79665,0.41136,1.13416,0.9745,0.96922,0.99196,0.81575,0.74898,0.35508,1.12205,0.001274,0.001274,0.001274
46,4504.95,0.79309,0.41321,1.13489,0.96967,0.97977,0.99244,0.81573,0.74973,0.35955,1.12499,0.0012575,0.0012575,0.0012575
47,4602.93,0.78678,0.40486,1.13259,0.96912,0.97274,0.9897,0.81556,0.73681,0.34545,1.12053,0.001241,0.001241,0.001241
